"sitename","YearRange","StartYear","EndYear","n_years","Drought","LS","MS"
"US-AUD","2004–2024",2004,2024,18,19,19,0
"US-CHR","2006–2019",2006,2019,10,16,11,5
"US-DK2","2004–2008",2004,2008,5,7,7,0
"US-DK3","2004–2008",2004,2008,5,7,7,0
"US-IB2","2005–2018",2005,2018,8,6,1,5
"US-JO1","2011–2022",2011,2022,9,10,10,0
"US-JO2","2014–2020",2014,2020,7,9,9,0
"US-KM2","2013–2021",2013,2021,8,15,5,10
"US-KM3","2013–2021",2013,2021,9,9,4,5
"US-KON","2004–2017",2004,2017,7,5,5,0
"US-LL1","2009–2020",2009,2020,12,23,23,0
"US-LL2","2009–2017",2009,2017,9,19,17,2
"US-LL3","2009–2017",2009,2017,8,18,15,3
"US-ME2","2002–2021",2002,2021,14,10,10,0
"US-ME6","2011–2024",2011,2024,13,14,14,0
"US-MMS","2002–2020",2002,2020,19,14,6,8
"US-MO2","2018–2024",2018,2024,6,9,9,0
"US-MOZ","2005–2021",2005,2021,17,24,22,2
"US-NC2","2005–2023",2005,2023,13,12,12,0
"US-NC3","2013–2018",2013,2018,5,8,6,2
"US-ONA","2016–2022",2016,2022,6,7,7,0
"US-RO4","2015–2024",2015,2024,8,7,3,4
"US-SP1","2003–2020",2003,2020,5,7,7,0
"US-SRC","2008–2012",2008,2012,5,10,10,0
"US-SRG","2008–2024",2008,2024,17,24,24,0
"US-SRM","2004–2024",2004,2024,21,24,24,0
"US-SRS","2011–2018",2011,2018,7,8,7,1
"US-TON","2001–2024",2001,2024,24,5,5,0
"US-UMB","2007–2021",2007,2021,11,19,13,6
"US-UMD","2008–2022",2008,2022,11,21,15,6
"US-VAR","2001–2021",2001,2021,21,9,9,0
"US-WHS","2009–2020",2009,2020,12,20,20,0
"US-WKG","2004–2024",2004,2024,21,19,19,0
"US-WRC","2001–2015",2001,2015,13,13,10,3
"US-XAE","2019–2024",2019,2024,6,10,10,0
"US-XCL","2020–2024",2020,2024,5,11,11,0
"US-XDL","2020–2024",2020,2024,5,6,6,0
"US-XKZ","2020–2024",2020,2024,5,9,9,0
"US-XMB","2020–2024",2020,2024,5,7,7,0
"US-XSE","2020–2024",2020,2024,5,8,3,5
