sitename,Latitude,Longitude,Veg,mean_AI,AI_cat,Terrain,data_source
US-AUD,31.5907,-110.5104,GRA,0.2354,Arid,NA,Ameriflux
US-CHR,35.9311,-84.3324,DBF,1.1844,Humid,NA,Ameriflux
US-DK2,35.9736,-79.1004,DBF,0.99165,Humid,GENTLE SLOPE (<2 %),Ameriflux
US-DK3,35.9782,-79.0942,ENF,0.9935,Humid,GENTLE SLOPE (<2 %),Ameriflux
US-IB2,41.8406,-88.241,GRA,0.9414,Humid,NA,Ameriflux
US-JO1,32.582,-106.635,SHR,0.1461,Arid,"MEDIUM SLOPE (>2 %, <5%)",Fluxnet
US-JO2,32.5849,-106.6032,SHR,0.1543,Arid,"MEDIUM SLOPE (>2 %, <5%)",Ameriflux
US-KM2,42.4441,-85.3098,GRA,0.9501,Humid,UNDULATED/VARIABLE,Ameriflux
US-KM3,42.4464,-85.3105,GRA,0.9492,Humid,"MEDIUM SLOPE (>2 %, <5%)",Ameriflux
US-KON,39.0824,-96.5603,GRA,0.6636,Humid,UNDULATED/VARIABLE,Fluxnet
US-LL1,31.2792,-84.5329,SHR,0.9666,Humid,FLAT,Ameriflux
US-LL2,31.201,-84.4449,SHR,0.9756,Humid,FLAT,Ameriflux
US-LL3,31.2688,-84.4787,SHR,0.9738,Humid,FLAT,Ameriflux
US-ME2,44.4523,-121.5574,ENF,0.84965,Humid,FLAT,Fluxnet
US-ME6,44.3233,-121.6078,ENF,0.5013,Humid,FLAT,Fluxnet
US-MMS,39.3232,-86.4131,DBF,1.0892,Humid,UNDULATED/VARIABLE,Fluxnet
US-MO2,38.9488,-91.9945,GRA,0.8722,Humid,GENTLE SLOPE (<2 %),Fluxnet
US-MOZ,38.7441,-92.2,DBF,0.85535,Humid,NA,Fluxnet
US-NC2,35.803,-76.6685,ENF,1.0521,Humid,FLAT,Ameriflux
US-NC3,35.799,-76.656,ENF,1.05195,Humid,GENTLE SLOPE (<2 %),Fluxnet
US-ONA,27.3836,-81.9509,GRA,0.84005,Humid,GENTLE SLOPE (<2 %),Fluxnet
US-RO4,44.6781,-93.0723,GRA,0.8318,Humid,FLAT,Fluxnet
US-SP1,29.7381,-82.2188,ENF,0.9545,Humid,FLAT,Fluxnet
US-SRC,31.9083,-110.8395,SHR,0.1857,Arid,FLAT,Fluxnet
US-SRG,31.7894,-110.8277,GRA,0.2682,Arid,GENTLE SLOPE (<2 %),Fluxnet
US-SRM,31.8214,-110.8661,SHR,0.2163,Arid,"MEDIUM SLOPE (>2 %, <5%)",Fluxnet
US-SRS,31.8173,-110.8508,SHR,0.22705,Arid,"MEDIUM SLOPE (>2 %, <5%)",Fluxnet
US-TON,38.4309,-120.966,SHR,0.4081,Arid,FLAT,Fluxnet
US-UMB,45.5598,-84.7138,DBF,0.9573,Humid,FLAT,Fluxnet
US-UMD,45.5625,-84.6975,DBF,0.9572,Humid,FLAT,Fluxnet
US-VAR,38.4133,-120.9508,GRA,0.40015,Arid,"MEDIUM SLOPE (>2 %, <5%)",Fluxnet
US-WHS,31.7438,-110.0522,SHR,0.1783,Arid,UNDULATED/VARIABLE,Fluxnet
US-WKG,31.7365,-109.9419,GRA,0.2037,Arid,NA,Fluxnet
US-WRC,45.8205,-121.9519,ENF,2.2119,Humid,"MEDIUM SLOPE (>2 %, <5%)",Ameriflux
US-XAE,35.4106,-99.0588,GRA,0.4018,Arid,NA,Fluxnet
US-XCL,33.4012,-97.57,GRA,0.5392,Humid,NA,Fluxnet
US-XDL,32.5417,-87.8039,ENF,1.07235,Humid,NA,Fluxnet
US-XKZ,39.1008,-96.5631,GRA,0.66005,Humid,NA,Fluxnet
US-XMB,38.2483,-109.3883,SHR,0.21385,Arid,NA,Fluxnet
US-XSE,38.8901,-76.56,DBF,0.9422,Humid,NA,Fluxnet
