Category,Veg,comparison,group1,group2,diff,lwr,upr,p_adj,sig
Veg,DBF,LS-ND,LS,ND,-0.3010209664303858,-0.4479076857071914,-0.15413424715358015,4.729266282921252e-6,***
Veg,DBF,MS-ND,MS,ND,-0.2819217924025832,-0.44283658130511694,-0.12100700350004948,1.1985411085846387e-4,***
Veg,DBF,MS-LS,MS,LS,0.01909917402780259,-0.18321280902451154,0.22141115708011672,0.9733645808866654,ns
Veg,ENF,LS-ND,LS,ND,-0.3716825696402828,-0.5170907445886669,-0.2262743946918987,6.505203042905805e-9,***
Veg,ENF,MS-ND,MS,ND,-0.01429644434311017,-0.3739683861652485,0.3453754974790282,0.9952249628557515,ns
Veg,ENF,MS-LS,MS,LS,0.3573861252971726,-0.019767046957921863,0.7345392975522671,0.06768901126482907,ns
Veg,GRA,LS-ND,LS,ND,-0.21707454325850994,-0.30817741742738236,-0.1259716690896375,1.0504948777523282e-7,***
Veg,GRA,MS-ND,MS,ND,0.433110855554629,0.25616959642010384,0.6100521146891542,6.324612566999122e-8,***
Veg,GRA,MS-LS,MS,LS,0.650185398813139,0.4593582812771978,0.8410125163490801,3.394045544613533e-8,***
Veg,SHR,LS-ND,LS,ND,-0.353802339357125,-0.4579878544473885,-0.24961682426686155,1.7373233962558743e-8,***
Veg,SHR,MS-ND,MS,ND,-0.04941680279161931,-0.486067495605337,0.3872338900220984,0.9619532443004972,ns
Veg,SHR,MS-LS,MS,LS,0.3043855365655057,-0.13973157141082287,0.74850264454183435,0.24287978422976453,ns
