sitename,metadata_source,swc_original,badm_swc_variable,swc_candidate_used,swc_badm_match_type,swc_height,swc_instrument_model,swc_instrument_model2,swc_start_date,swc_comment,swc,swc_f,swc_qc,ta,vpd,rh,nee,gpp,reco,le,fc,p,netrad,sw_in,netrad_f,p_f,ta_f,vpd_f,rh_f,sw_in_f,nee_f,gpp_f,reco_f,le_f,le_qc,ta_qc,vpd_qc,nee_qc,sw_qc
US-AUD,Ameriflux,SWC_PI_1,SWC_PI_1,SWC_PI_1,exact,-0.1,SWC-TDR; SWC-Other,NA,201109,after 200911 Acclima; 200206 - Stevens Hydra probe,SWC_PI_1,NA,NA,TA,VPD_PI,RH,NEE_PI,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CHR,Ameriflux,SWC_PI_1,SWC_PI_1,SWC_PI_1,exact,-0.05,SWC-Other,NA,NA,Stevens Hydra II,SWC_PI_1,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-DK2,Ameriflux,SWC_1_1_1,SWC_1_1_1,SWC_1_1_1,exact,-0.1,SWC-TDR,NA,NA,NA,SWC_1_1_1,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,NA,NA,SW_IN,NETRAD_PI_F,P_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-DK3,Ameriflux,SWC_PI_F_1_1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_PI_F_1_1_1,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NA,SW_IN,NETRAD_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-IB2,Ameriflux,SWC_1_1_1,SWC_1_1_1,SWC_1_1_1,exact,-0.025,SWC-Other,NA,20041006,REBS SMP-1,SWC_1_1_1,NA,NA,TA,NA,RH,NA,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-JO1,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-JO2,Ameriflux,SWC_1_1_1,SWC_1_1_1,SWC_1_1_1,exact,-0.05,SWC-TDR,NA,NA,NA,SWC_1_1_1,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-JO2,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-KM2,Ameriflux,SWC,SWC,SWC,exact,NA,NA,NA,NA,Please complete,SWC,NA,NA,NA,NA,NA,NA,NA,NA,LE,FC,NA,NA,NA,NA,NA,TA_PI_F,VPD_PI_F,RH_PI_F,SW_IN_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-KM3,Ameriflux,SWC,SWC,SWC,exact,NA,NA,NA,NA,Please complete,SWC,NA,NA,NA,NA,NA,NA,NA,NA,LE,FC,NA,NA,NA,NA,NA,TA_PI_F,VPD_PI_F,RH_PI_F,SW_IN_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA
